entity_text,entity_type,source_url,source_title,sentence,confidence
Banco do Brasil,ORG,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"Sponsorship
Primary sponsors include: main sponsors like Banco do Brasil, Nivea, other sponsors: Globoesporte, Gatorade, Gol Transportes Aereos, Delta Air Lines, Mikasa, Ernst & Young and Asics.",0.88
Nivea,ORG,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"Sponsorship
Primary sponsors include: main sponsors like Banco do Brasil, Nivea, other sponsors: Globoesporte, Gatorade, Gol Transportes Aereos, Delta Air Lines, Mikasa, Ernst & Young and Asics.",0.88
Globoesporte,ORG,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"Sponsorship
Primary sponsors include: main sponsors like Banco do Brasil, Nivea, other sponsors: Globoesporte, Gatorade, Gol Transportes Aereos, Delta Air Lines, Mikasa, Ernst & Young and Asics.",0.88
Gatorade,ORG,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"Sponsorship
Primary sponsors include: main sponsors like Banco do Brasil, Nivea, other sponsors: Globoesporte, Gatorade, Gol Transportes Aereos, Delta Air Lines, Mikasa, Ernst & Young and Asics.",0.88
Gol Transportes Aereos,ORG,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"Sponsorship
Primary sponsors include: main sponsors like Banco do Brasil, Nivea, other sponsors: Globoesporte, Gatorade, Gol Transportes Aereos, Delta Air Lines, Mikasa, Ernst & Young and Asics.",0.88
Delta Air Lines,ORG,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"Sponsorship
Primary sponsors include: main sponsors like Banco do Brasil, Nivea, other sponsors: Globoesporte, Gatorade, Gol Transportes Aereos, Delta Air Lines, Mikasa, Ernst & Young and Asics.",0.88
Mikasa,ORG,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"Sponsorship
Primary sponsors include: main sponsors like Banco do Brasil, Nivea, other sponsors: Globoesporte, Gatorade, Gol Transportes Aereos, Delta Air Lines, Mikasa, Ernst & Young and Asics.",0.88
Ernst & Young,ORG,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"Sponsorship
Primary sponsors include: main sponsors like Banco do Brasil, Nivea, other sponsors: Globoesporte, Gatorade, Gol Transportes Aereos, Delta Air Lines, Mikasa, Ernst & Young and Asics.",0.88
Asics,ORG,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,"Sponsorship
Primary sponsors include: main sponsors like Banco do Brasil, Nivea, other sponsors: Globoesporte, Gatorade, Gol Transportes Aereos, Delta Air Lines, Mikasa, Ernst & Young and Asics.",0.88
Media,ORG,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,Media,0.88
SporTV,ORG,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,Brazil's matches and friendlies are currently televised by SporTV and Globo.,0.88
Globo,ORG,https://en.wikipedia.org/wiki/Brazil_men%27s_national_volleyball_team,Brazil men's national volleyball team,Brazil's matches and friendlies are currently televised by SporTV and Globo.,0.88
France,GPE,https://en.wikipedia.org/wiki/France_men%27s_national_volleyball_team,France men's national volleyball team,The France national men's volleyball team represents the country in international competitions and friendly matches.,0.85
1 January 2023,DATE,https://en.wikipedia.org/wiki/France_men%27s_national_volleyball_team,France men's national volleyball team,It was the reigning European Champion in 2015 and is ranked 3rd (as of 1 January 2023) in the FIVB world ranking.,0.6
FIVB,ORG,https://en.wikipedia.org/wiki/France_men%27s_national_volleyball_team,France men's national volleyball team,It was the reigning European Champion in 2015 and is ranked 3rd (as of 1 January 2023) in the FIVB world ranking.,0.88
World League,ORG,https://en.wikipedia.org/wiki/France_men%27s_national_volleyball_team,France men's national volleyball team,France have been competing in the World League ever since the inaugural edition in 1990 and continuously since 1999.,0.88
Brazil,GPE,https://en.wikipedia.org/wiki/France_men%27s_national_volleyball_team,France men's national volleyball team,In 2006 they finished second to Brazil but had their share of disappointment in subsequent seasons.,0.85
subsequent seasons,DATE,https://en.wikipedia.org/wiki/France_men%27s_national_volleyball_team,France men's national volleyball team,In 2006 they finished second to Brazil but had their share of disappointment in subsequent seasons.,0.6
Final Six,EVENT,https://en.wikipedia.org/wiki/France_men%27s_national_volleyball_team,France men's national volleyball team,"In 2009 they narrowly missed making the Final Six, falling at the last hurdle to Slovenia.",0.75
Slovenia,GPE,https://en.wikipedia.org/wiki/France_men%27s_national_volleyball_team,France men's national volleyball team,"In 2009 they narrowly missed making the Final Six, falling at the last hurdle to Slovenia.",0.85
European Championship,EVENT,https://en.wikipedia.org/wiki/France_men%27s_national_volleyball_team,France men's national volleyball team,"In 2015, France won the European Championship and World League (also in 2017).",0.75
Olympic Games,EVENT,https://en.wikipedia.org/wiki/France_men%27s_national_volleyball_team,France men's national volleyball team,"France competed at the Olympic Games for the fourth time in Rio 2016, finishing ninth.",0.75
Rio 2016,EVENT,https://en.wikipedia.org/wiki/France_men%27s_national_volleyball_team,France men's national volleyball team,"France competed at the Olympic Games for the fourth time in Rio 2016, finishing ninth.",0.75
Five years later,DATE,https://en.wikipedia.org/wiki/France_men%27s_national_volleyball_team,France men's national volleyball team,"Five years later, they won gold after defeating Russia in Tokyo 2020.",0.6
Russia,GPE,https://en.wikipedia.org/wiki/France_men%27s_national_volleyball_team,France men's national volleyball team,"Five years later, they won gold after defeating Russia in Tokyo 2020.",0.85
Tokyo 2020,DATE,https://en.wikipedia.org/wiki/France_men%27s_national_volleyball_team,France men's national volleyball team,"Five years later, they won gold after defeating Russia in Tokyo 2020.",0.6
Paris 2024,DATE,https://en.wikipedia.org/wiki/France_men%27s_national_volleyball_team,France men's national volleyball team,"They retained their Olympic title at 
Paris 2024.",0.6
World Championship,EVENT,https://en.wikipedia.org/wiki/France_men%27s_national_volleyball_team,France men's national volleyball team,"3rd place    4th place

World Championship
Champions    Runners up    Third place    Fourth place

World Cup
Champions    Runners up    Third place    Fourth place

World Grand Champions Cup
Champions",0.75
World Cup,EVENT,https://en.wikipedia.org/wiki/France_men%27s_national_volleyball_team,France men's national volleyball team,"3rd place    4th place

World Championship
Champions    Runners up    Third place    Fourth place

World Cup
Champions    Runners up    Third place    Fourth place

World Grand Champions Cup
Champions",0.75
World Grand Champions Cup,EVENT,https://en.wikipedia.org/wiki/France_men%27s_national_volleyball_team,France men's national volleyball team,"3rd place    4th place

World Championship
Champions    Runners up    Third place    Fourth place

World Cup
Champions    Runners up    Third place    Fourth place

World Grand Champions Cup
Champions",0.75
Nations League,ORG,https://en.wikipedia.org/wiki/France_men%27s_national_volleyball_team,France men's national volleyball team,"3rd place    4th place

World Championship
Champions    Runners up    Third place    Fourth place

World Cup
Champions    Runners up    Third place    Fourth place

World Grand Champions Cup
Champions",0.88
European Championship,ORG,https://en.wikipedia.org/wiki/France_men%27s_national_volleyball_team,France men's national volleyball team,"2nd place    3rd place    4th place

European Championship
Champions    Runners up    Third place    Fourth place

Team
Current squad
Roster for the 2024 Summer Olympics.
The roster was announced on 8",0.88
Team,ORG,https://en.wikipedia.org/wiki/France_men%27s_national_volleyball_team,France men's national volleyball team,"2nd place    3rd place    4th place

European Championship
Champions    Runners up    Third place    Fourth place

Team
Current squad
Roster for the 2024 Summer Olympics.
The roster was announced on 8",0.88
8 July 2024,DATE,https://en.wikipedia.org/wiki/France_men%27s_national_volleyball_team,France men's national volleyball team,"2nd place    3rd place    4th place

European Championship
Champions    Runners up    Third place    Fourth place

Team
Current squad
Roster for the 2024 Summer Olympics.
The roster was announced on 8",0.6
Andrea Giani,PERSON,https://en.wikipedia.org/wiki/France_men%27s_national_volleyball_team,France men's national volleyball team,"Head coach:  Andrea Giani

Coach history
1938–1946 :  Plaswick
1946–1947 :  René Verdier
1947–1965 :  Marcel Mathor
1965-1965 :  Shigeyoshi Nagasaki
1965–1968 :  Nicolae Sotir
1968–1970 :  Georges Der",0.9
Plaswick,PERSON,https://en.wikipedia.org/wiki/France_men%27s_national_volleyball_team,France men's national volleyball team,"Head coach:  Andrea Giani

Coach history
1938–1946 :  Plaswick
1946–1947 :  René Verdier
1947–1965 :  Marcel Mathor
1965-1965 :  Shigeyoshi Nagasaki
1965–1968 :  Nicolae Sotir
1968–1970 :  Georges Der",0.9
René Verdier,PERSON,https://en.wikipedia.org/wiki/France_men%27s_national_volleyball_team,France men's national volleyball team,"Head coach:  Andrea Giani

Coach history
1938–1946 :  Plaswick
1946–1947 :  René Verdier
1947–1965 :  Marcel Mathor
1965-1965 :  Shigeyoshi Nagasaki
1965–1968 :  Nicolae Sotir
1968–1970 :  Georges Der",0.9
Marcel Mathor,PERSON,https://en.wikipedia.org/wiki/France_men%27s_national_volleyball_team,France men's national volleyball team,"Head coach:  Andrea Giani

Coach history
1938–1946 :  Plaswick
1946–1947 :  René Verdier
1947–1965 :  Marcel Mathor
1965-1965 :  Shigeyoshi Nagasaki
1965–1968 :  Nicolae Sotir
1968–1970 :  Georges Der",0.9
Shigeyoshi Nagasaki,PERSON,https://en.wikipedia.org/wiki/France_men%27s_national_volleyball_team,France men's national volleyball team,"Head coach:  Andrea Giani

Coach history
1938–1946 :  Plaswick
1946–1947 :  René Verdier
1947–1965 :  Marcel Mathor
1965-1965 :  Shigeyoshi Nagasaki
1965–1968 :  Nicolae Sotir
1968–1970 :  Georges Der",0.9
